Na2O_coal ,MgO_coal,Al2O3_coal,SiO2_coal,p2o5_coal,K2O_coal,TiO2_coal,MnO2_coal,Fe2O3_coal,CaO_coal,SO3_coal,na20_flyash,MgO_flyash,Al2O3_flyash,SiO2_flyash,p2o5_flyash,K2O_flyash,TiO2_flyash,MnO2_flyash,Fe2O3_flyash,CaO_flyash,SO3_flyash
0.92,2.01,16.36,39.42,0.14,2.08,0.31,0.1,9.65,12.18,16.53,1.05,2.5,16.64,45.64,0.19,2.58,0.36,0.12,10.57,16.28,3.1425
0.78,2.04,14.71,37.3,0.15,2.29,0.3,0.09,9.81,11.3,15.24,1.5,3.01,16.4,41.65,0.19,2.84,0.31,0.14,11.51,18,3.9875
1.22,2.69,13.95,40.45,0.1,2.13,0.33,0.12,9.93,13.5,17,1.69,3.33,16.52,44.44,0.13,2.66,0.36,0.15,12.11,18.98,3.16
1.13,2.49,19.95,37.76,0.13,1.6,0.32,0.12,10.86,14.85,20.16,1.63,3.23,22.08,43.93,0.16,2.28,0.37,0.16,12.05,19.58,2.9025
0.53,1.32,19.28,30.65,0.14,1.83,0.37,0.06,11.34,5.08,17.49,0.75,1.8,21.06,40.17,0.15,2.64,0.4,0.1,12,9.33,3.84
0.74,1.86,16.69,33.19,0.16,2.09,0.36,0.13,10.09,11.99,20.08,1.2,2.28,20.87,41.44,0.18,2.68,0.42,0.17,12.05,15.74,4.0225
0.8,2.11,19.55,35.15,0.16,2.18,0.37,0.14,10.73,16.25,19.06,1.14,2.33,20.96,40.08,0.17,2.8,0.42,0.16,12.59,17.65,3.5125
0.67,1.79,18.26,37.09,0.14,2.16,0.38,0.1,11.45,11.59,16.27,0.86,2.05,21.53,44.06,0.16,2.66,0.4,0.12,12.56,15.08,3.846666667
0.69,1.82,18.87,37.6,0.16,1.98,0.32,0.11,11.24,13,16.81,0.87,2.11,22.18,42.38,0.18,2.53,0.38,0.12,13.3,15,3.5125
0.67,1.57,18.19,35.84,0.18,2.02,0.36,0.08,12.24,10.18,20.9,0.74,1.87,20.89,41.87,0.21,2.42,0.4,0.11,14.39,13.49,4.475
